"month","total_transactions","unique_users","total_amount","avg_amount_per_transaction","avg_amount_per_user","avg_transactions_per_user","min_transaction_amount","max_transaction_amount","weekend_transactions","weekday_transactions","weekend_transaction_percentage","business_hours_transactions","non_business_hours_transactions","business_hours_percentage","avg_daily_transactions","stddev_daily_transactions","max_daily_transactions","min_daily_transactions","avg_daily_users","stddev_daily_users","avg_daily_amount","stddev_daily_amount","amount_lt_1000","amount_1000_to_2000","amount_2000_to_5000","amount_5000_to_10000","amount_gt_10000","pct_amount_lt_1000","pct_amount_1000_to_2000","pct_amount_2000_to_5000","pct_amount_5000_to_10000","pct_amount_gt_10000"
2025-03-01,58362,7483,40607696.300000,695.79,5426.66,7,0.100000,100000.000000,18621,39741,31.910000000000004,15321,43041,26.25,1882,342.64,2508,882,799,133.39000000000001,1309925.69,489825.92000000004,50581,2885,3124,1091,681,86.67,4.9399999999999995,5.35,1.8699999999999999,1.17
2025-04-01,45017,6501,26426728.140000,587.04,4065.03,6,0.010000,100000.000000,11832,33185,26.28,12364,32653,27.47,1500,170.73,1868,1236,652,104.29,880890.94,255496.7,39827,2082,2019,647,442,88.47,4.62,4.4799999999999995,1.44,0.9800000000000001
